position,job_description
Sr analyst compliance,"launched in  with the idea that style quality and value should all be found in one place express has been a part of some of the most important and culturedefining fashion trends

the express edit design philosophy ensures that the brand is always of the now so people can get dressed for every day and any occasion knowing that express can help them look the way they want to look and feel the way they want to feel

the company operates over  retail and outlet stores in the united states and puerto rico the expresscom online store and the express mobile app

express inc is comprised of the brands express and upwest and is traded on the nyse under the symbol expr for more information please visit 

responsibilities

we are looking for a senior analyst data privacy to join our retail organization headquartered in columbus oh the candidate will assess and lead the organization in understanding their current risk exposure and identify actions that would be required to remain compliant with programs such as ccpa gdpr pipeda

candidates who have experience with general data protection regulation gdpr and who are open to studying and learning the california consumer privacy act ccpa will also be considered

this position can be a remote opportunity with occasional travel to the headquarters as needed ideal candidates will have experience with data mapping and creating data flows after interviewing different system owners throughout the organization

this is a critical initiative for the entire company and we are looking for someone who works well independently and can get up to speed quickly

role responsibilities
 identify and communicate data requirements to the organization for initiatives like ccpa and others champion the appropriate priority of such programs and coordinate the execution of data privacy projects
 knowledge of existing data privacy requirements ccpa gdpr pipeda and new laws  privacy trends cpra cdpa cpa risk assessment and mitigation practices auditing procedures and incident response and resolution
 proficient in data analysis documentation reporting and project management
 strong understanding of data elements data sources data storage data flows  lineage and data processes
 experience in data strategy definition data governance query languages  coding and workflows
 collaborate with business directors managers and stakeholders to define expectations including needed security requirements
 provide accurate and thorough estimates of time and resources necessary to complete security efforts
 provide guidance to senior technology leadership
 take part in the full software development lifecycle sdlc  design development testing deployment and maintaining
 in all phases of the sdlc able to engage and provide recommendations to experts of cross functional disciplines

required experience
 fouryear degree in computer science or an equivalent combination of course work and job experience
  years of experience as a privacy analyst overseeing programs like ccpa
  years of experience in data privacy working with teams in a dynamic environment to promote  implement data requirements throughout the organization
 strong understanding of retail domain
 experience working in cloud environments and understanding of cloud infrastructure google cloud or amazon
 experience working with onsite and offsite development teams coordinating work expectations and delivery

critical skills
 possesses and demonstrates curiosity
 demonstrates excellent communication skills to both technical and nontechnical personnel
 possess the art of negotiation to drive to end state needs
 ability to clearly articulate and drive alignment across multiple teams and departments
 ability to create and describe project estimations with assumptions and risks
 ability to work in a fastpaced environment while managing multiple responsibilities
 executes with limited to no supervision selfmotivated and selfdirected

closing

as an equal opportunity employer express does not discriminate in hiring or terms and conditions of employment on the basis of any federal state or locally protected class

express only hires individuals authorized for employment in the united states

notification to agencies  please note that express does not accept unsolicited resumes or calls from thirdparty recruiters or employment agencies

in the absence of a signed master service agreement and approval from hr to submit resumes for a specific requisition express will not consider or approve payment to any thirdparties for hires made

last updated  "
Executive Assistant to the CEO,"organization overview

chief executives for corporate purposeâ cecp is a trusted advisor to companies on their corporate purpose journeys to build longterm sustainable value and tell their impact stories working with ceos and leaders in corporate responsibility sustainability foundations investor relations finance legal and communications cecp shares actionable insights with its ceoled coalition to address stakeholder needs founded in  by actor and philanthropist paul newman and other business leaders cecp is a movement of more than  of the worldâs largest companies that represent  trillion in revenues  billion in total community investment  million employees and  trillion in assets under management cecp helps companies transform their strategy by providing benchmarking and analysis convenings and strategy and communications across the areas of societalcommunity investment employee engagement environmental social governance esgsustainable business diversity equity inclusion dei and telling the story

cecp commits to and promotes antiracism antidiscrimination and diversity equity and inclusion in our organization and with our affiliated companies and their leaders we prohibit discrimination and provide equal opportunities in a respectful environment for all individuals and partnerships regardless of race color ethnicity ancestry national origin sex gender gender identity sexual orientation age mental health disability religious beliefs marital status genetic information pregnancy veteran status citizenship or any other status that may or may not be protected by law or local policies we advocate as an organization and for our coalition companies to denounce racism hate injustice and prejudice against individuals communities and around the world we have written antiracism antidiscrimination and diversity equity and inclusion policies and practices we do not discriminate in our societal philanthropic and business decisions we encourage and support our affiliated companies to do the same

position overview

cecp is seeking an executive assistant to primarily provide comprehensive support to our ceo as well as the overall organization this role will ensure the ceo is as efficient and effective as possible by anticipating needs structuring their time and providing operational support the executive assistant to the ceo requires the willingness to play an active behindthescenes role and the ability to maintain the complete trust of all with whom they interact as they will be privy to highly confidential information

responsibilities
 manage the ceoâs calendar schedule callsmeetings as needed and secure all travel for ceo
 draftsend communications from ceo email on behalf of ceo
 organize logistics for allstaff meetings eg quarterly âœoffsitesâ and twice monthly development days and team celebrations including logistical planning and agenda support
 answer cecp main line and assist staff with large mailings as needed
 provide research and insight for ceoâs meetings track ceoâs engagements
 lead development of powerpoint presentations for ceo speaking opportunities
 manage cecpâs relationship with its board of directors including the coordination of board meetings and materials and documentation of board meeting minutes
 potential to serve and add value for cecpâs centers of excellence see cecpco for further details
 provide backup support to the operations team eg scheduling support for internal group meetings knowledge of quickbooks and a familiarity of hr a plus
 provide scheduling support for the executive leadership team

this job is for you if you haveare
 professional interest in business cecpâs mission and corporate purpose
 exceptional written interpersonal and presentation skills and the ability to effectively interface with cecpâs ceos and corporate leaders
 commitment to excellence and accuracy with a highlevel of attention to detail critical thinking to prioritize competing priorities
 motivated selfstarter who has a passion for learning and delivering highquality results
 comfortable working with various teams and leadership levels a roll up your sleeves mentality judge your success by the success of the team
 knowledge of salesforce crm preferred proficiency in microsoft office suite required
 bachelorâs degree preferred and three years of relevant experience required
 must reside within daily commuting distance to nyc
 knowledge of quickbooks is a plus

compensation and benefitsââ

cecp offers a competitive salary between  and  depending on experience and a benefits package for the nonprofit sector that reflects the high expectations and level of responsibility of this roleââcecp is a highperformance resultsdriven culture that offers worklife fit to its staffâcecp staff is currently working remotely and cecp will continue to offer ongoing remote work flexibility this roleâis required to attend quarterly allstaff meetings in person once they resume

lidni

cecp is an equal opportunity employer cecp cannot support candidates lacking the proper authorization to work in the united states

powered by jazzhr"
Career Coach,"placement is looking for entrepreneurial career coaches to work directly with our clients in this role youll help clients achieve their career goals and enable clients to get there faster with better results than they would alone youll work  with clients to find their direction tell their story write their resume prepare for interviews and more

we are rapidly expanding our community of expert career coaches to help people navigate their career as a career coach on the placement platform you get to spend your time coaching instead of grinding away at sales and marketing

this role is a flexible fully remote contract role for usbased coaches

about placement

at placement we are on a mission to unlock the career potential of all americans we believe that working with a coach can radically improve our clients careers and improve their lives in addition to connecting our clients with expert career coaches we also have a suite of tools to help them find great jobs track their progress communicate with their coach and learn how to put their best foot forward

responsibilities
coach placement clients to achieve their career goalsconduct  remote video sessions with clientscomplete asynchronous asset reviews on timemanage a roster of clients as if it is your own businessleverage the placement platform to engage and communicate with clientsretain clients by providing maximum valuedeliver quality guidance to each client

requirements

wed love to hear from you if you have
career coaching certifications from an icf or cce accredited organizationcollege degree in psychology counseling or  years total work  years of coaching counseling or relevant  years in talent hr recruiting hiring manager or relevant experiencea passion for coaching entry to midlevel professionalscareer coaching skills including career transition career direction resumelinkedincover letter assistance job search strategy interview prep technical mock interviews negotiation networking and personal brand development

placement offers a culture focused on customer value growth feedback and integrity were backed by founders fund house fund coatue xyz ventures and also the founders of instacart eventbrite doordash opendoor flexport and yammer

placement holdings inc is an equal opportunity employer we actively welcome candidates from diverse backgrounds to join our organization

benefits

flexible workset your own hours anywhere from  to  hours per weekcreate a profile to match with clients needing your coaching expertisehighly competitive hourly ratessignon bonus opportunityno hardcore sales or marketing to grow your roster of clientsjoin a community of coachesremote wfh"
"Manager, Business Strategy And Operations"," circle is a global financial technology firm that enables businesses of all sizes to harness the power of digital currency and public blockchains for payments commerce and financial applications worldwide
 circle platforms and products provide a suite of internetnative financial services for payments treasury infrastructure and capital formation
 circle is also a principal developer of usd coin usdc which has become the fastest growing dollar digital currency in the world
 usdc has grown to over  billion in circulation and supported over  trillion in transactions in the past year
 circles payments and treasury infrastructure services available through the circle account and apis helps bridge the legacy financial system and digital currency and blockchain based finance
 circles seedinvest service brings internetnative fundraising and capital formation to startups and growth companies
 combined circles suite of services helps companies to participate in a more open global and inclusive financial system
 with the mission to raise global economic prosperity through the frictionless exchange of financial value circle was founded on the belief that the internet blockchains and digital currency will rewire the global economic system creating a fundamentally more open inclusive efficient and integrated world economy
 we envision a global economy where people and businesses everywhere can more freely connect and transact with each other with new technologies for digital money and internetnative finance
 we believe such a system can raise prosperity for people and companies everywhere
 our mission is powered by the values we espouse and which we expect all circlers to respect
 we are multistakeholder serving the needs of our customers our shareholders our employees and families our local communities and our world
 furthermore we are also mindful driven by excellence and high integrity
 circles business strategy and operations team bizops performs internal strategy consulting and drives execution across the full breadth of the business
 it is tasked with defining market landscapes and problem spaces and developing research analysis and recommendations across the most important strategic questions
 bizops is multidisciplinary and provides value to other internal functions via a holistic understanding of the business and the market paired with strategic rigor and capacity to execute
 it is the connective tissue between circles broader strategy and the internal functions executing that strategy
 define clear hypotheses to identify new opportunities and build business cases
 structure complex and ambiguous strategic problems for product and executive leadership
 quantitative and qualitative market research across key product verticals
 aiding product managers in discovery across new product categories engaging prospects and crafting plans for market development
 become an expert in the competitive landscape and market developments
 work cross functionally to drive execution of growth programs and key strategic initiatives
 multi stakeholder  you have dedication and commitment to our customers shareholders employees families and local communities
 mindful  you seek to be respectful an active listener and to pay attention to detail
 driven by excellence  you are driven by our mission and our passion for customer success which means you relentlessly pursue excellence that you do not tolerate mediocrity and you work intensely to achieve your goals
 high integrity  you seek open and honest communication and you hold yourself to very high moral and ethical standards
 you reject manipulation dishonesty and intolerance
  years of relevant experience in bizops strategy consulting or related field
 payments or blockchain experience preferred
 experience in defining problem spaces and aligning groups to drive execution
 highly independent and motivated to get into the weeds
 strategic thought partner who is comfortable driving requirements across a highly diverse set of stakeholders
 passion for building and mastering complex technical concepts
 thrives in unstructured environments and brings order to chaos
 we are an equal opportunity employer and value diversity at circle
 we do not discriminate on the basis of race religion color national origin gender sexual orientation age marital status veteran status or disability status"
Recruiter,"hey this job is

you lead the way weve got your back
at american express we know that with the right backing people and businesses have the power to progress in incredible ways whether were supporting our customers financial confidence to move ahead taking commerce to new heights or encouraging people to explore the world our colleagues are constantly redefining whats possible  and were proud to back each other every step of the way when you join teamamex you become part of a diverse community of over  colleagues all with a common goal to deliver an exceptional customer experience every day we back our colleagues with the support they need to thrive professionally and personally thats why we have amex flex our enterprise working model that provides greater flexibility to colleagues while ensuring we preserve the important aspects of our unique inperson culture depending on role and business needs colleagues will either work onsite in a hybrid model combination of inoffice and virtual days or fully virtually
"
Criminal Investigator 2,"about us

the office of the ohio public defender opd is the state agency responsible for providing legal representation and other services to people accused or convicted of a crime who cannot afford to hire an attorney

our mission advocating fighting helping

our vision a fair justice system

our values compassion dignity equity integrity service community

our commitment to diversity equity and inclusion our commitment to inclusion is inseparable from our commitment to a fair justice system we strive to ensure inclusive spaces and services for our staff our clients and ohios diverse communities we are committed to building a work environment where all our team members have a voice and can embrace our differences to innovate service to the public we can best meet our public defense mission through a diverse workforce and an inclusive workplace where employees thrive our mission is accomplished and ohioans are served teamopd is grounded in diversity equity inclusion as we work together to pursue fairness and justice for all people

follow opd on facebook and twitter  visit our website

about the position and what youll do

the criminal investigator  works independently and at the direction of their supervisor to conduct thorough detailed and accurate psychosocial investigations of clients at the trial court and posttrial litigation levels you will also conduct fact investigations on trial and posttrial litigation you will join the mitigation and investigation department which conducts both criminal investigations and mitigation investigations the mission of the department is to provide a thorough investigation in an ethical and honest manner in order to ensure quality representation of indigent clients

a successful candidate will have passion for working with a large team and assisting our diverse clientele who are facing the challenges of poverty and other challenges beyond socioeconomic factors the preferred candidate will have professional or volunteer experience helping to pursue a fair justice system and a bachelors degree or above in either criminal justice psychology sociology criminology social work or related humanities field the position currently offers you the opportunity to work from home for a portion of time so a successful candidate will also be selfmotivated and comfortable communicating via microsoft teams or other conferencing software

essential duties performed by the position include but are not limited to
 conduct criminal and social history investigations
 locate contact and interview witnesses other suspects family members employers and medical or psychological service providers to obtain information pertaining to the case
 travel throughout ohio and outside the state as necessary to locate interview and investigate witnesses evidence materials and records
 review case materials
 conduct interviews with clients witnesses and other parties
 create reports presentations and record findings
 gather and organize records evidence materials pertinent to case
 meet with defense team to brainstorm collaborate and identify case strategy based on investigative findings

note this posting is recruiting for two  criminal investigator 

the criminal investigator  position is assigned to the state of ohios ocsea pay schedule pay range  unless required by legislation or union contract starting salary will be the minimum salary of that pay range step  currently  per hour associated with this position these ranges provide a standardized pathway for pay increases with continued employment new hires move to the next step in the range after  months and annually thereafter the state of ohio typically has cost of living adjustments that increase wages in these ranges each fiscal year

criminal investigator    pay range hourly step  step  step  step  step  step  step        

please include a cover letter with your application

the office of the ohio public defender complies with federal and state disability laws and makes reasonable accommodations for applicants and employees with disabilities if reasonable accommodation is needed to participate in the job application or interview process please contact tamra meister ada coordinator at  or hcmopdohiogov

whats in it for you

at the state of ohio we take care of the team that cares for ohioans we provide a variety of quality competitive benefits to eligible fulltime and parttime employees for a list of all the state of ohio benefits visit our total rewards website our benefits package includes

medical coverage
 quality affordable and competitive medical benefits are offered through the ohio med ppo plan

dental vision and basic life insurance
 dental vision and basic life insurance premiums are free after one year of continuous service

time away from work and worklife balance
 paid time off including vacation personal and sick leave
  paid holidays per year
 childbirthadoption leave

ohio public employees retirement system
 opers is the retirement system for state of ohio employees the employee contributes  of their salary towards their retirement the employer contributes an amount equal to  of the employees salary visit the opers website for more information
deferred compensation
 the ohio deferred compensation program is a b voluntary retirement savings plan visit the ohio deferred compensation website for more information
ohio is a disability inclusion state and strives to be a model employer of individuals with disabilities the state of ohio is committed to providing access and inclusion and reasonable accommodation in its services activities programs and employment opportunities in accordance with the americans with disabilities act ada and other applicable laws

 mos exp as criminal investigator  
 or  mos exp in conducting criminal investigations of felonies  misdemeanors or claim fraud
 or  mos exp in conducting investigations of complaints  possible violations of laws  rules or agencycompany policies  procedures
 or equivalent of minimum class qualifications for employment noted above

primary location

united states of americaohiofranklin countycolumbus

work locations

public defenders office

organization

public defender commission

classified indicator

classified

bargaining unit  exempt

bargaining unit

schedule

fulltime

compensation

hr

unposting date

jun    pm

job function

criminologycriminal justice

job level

individual contributor

agency contact information

elijahkellyopdohiogov"
"CEO, Positivly","job description

overview

the positivly team is looking for a chief executive officer to lead and manage the startup this role is the opportunity of a lifetime for an executive who aims to profoundly impact how mental health needs are addressed for teens this role will receive a guided handoff from the interim ceo and will take on the leadership of a company with significant momentum this role will be an incredible opportunity to grow your skills as a leader under the guidance of a supportive and ambitious board

to be successful in this role you should have previous experience scaling software startups in operations product or sales roles you must have previous experience serving your communitys mental health needs through either clinical or informal efforts such as volunteer work

positivly has the financial backing of one of the nations largest medicaid insurance providers caresource our relationship with caresource provides a clear pathway to multistate growth and a strong financial foundation

about positivly

positivly is a spinout of ascend innovations startup studio positivly is a new platform developed for high school students that helps to reduce the access barriers to mental health resources rates of anxiety depression and suicide have almost doubled in the last ten years and our schools are in crisis mode in responding to their students needs the app fights the barriers created by stigma through shared stories about mental health and trusted staff at a school curates the content positivly also closes the gap between students and professional community resources through a hyperlocal directory with vetted professional services

ascend is a technology company that provides datadriven products and consulting services to help organizations solve complex community health problems formed by the greater dayton area hospital association and three major hospital networks premier health kettering health and dayton childrens ascend is positioned to serve communities to address their most complex health problems including mental health

 what we value

our team culture is rooted in the values of drive perseverance trust accountability and community
 we aspire to be better
 we grow through challenge
 we are open and honest
 we have each others back
 we are better together

 perks
 unlimited pto
  months of fully paid parental leave
 hybrid workplace with the ability to work remotely

who you are
 you have a passion for mental health especially when it comes to improving support for youth
 you have a minimum of  years of experience in entrepreneurial product management or operational experience you demonstrated excellence across the board in these roles from daytoday execution to strategic planning
 you have experience as an executive but are eager to roll up your sleeves to help the team with the companys most urgent issues
 you are a strong networker and have a wellestablished professional network preferably in the world of software startups
 you have demonstrated success in developing building and scaling software companies
 you are extremely attentive to detail and have strong financial acumen
 you are a strong operational manager and know how to organize a team to get things done you are obsessed with personal growth and continually strive to be a better leader you have a high degree of selfawareness
 you have excellent written and verbal communication skills you are comfortable giving pitches and interacting with key stakeholders such as the board customers and investors
 you have a strong appetite for risk and have experience distinguishing between good and bad risks you will act with conviction after identifying an opportunity based on good risk
 you have a bachelors degree in business or comparable experience

 as the ceo on a given day you will
 provide company vision and support longterm product strategy through the development of partnerships and management of stakeholders
 support the sales team in their development of relationships with healthcare and other sponsoring organizations
 collaborate with the executive director on mental health content strategy and relationships with schools
 provide leadership for the team from managing company values to guiding the team through goal setting
 build and implement a professional management structure in the organization optimizing the company for operational excellence
 manage key stakeholders including the board of directors customers and investors
 build your team through proactive recruiting and networking to ensure access to essential talent
 collaborate with product design implementation and other roles as needed
 spend time in schools at conferences with education partners and in the mental health community
 collaborate with ascend innovations startup studio and leadership team to support the development of the positivly team

where youll be
 we are a distributed workforce enabling our teammates to find a work mode that is best for them
 we offer flexible hybrid or inoffice working arrangements
 this role will be placed in ohio our primary office is in dayton ohio est timezone but we also have a presence in columbus ohio all positivly team members are in ohio

 benefits highlights
 equity in the earlystage startup
 inclusive healthcare package medical dental  vision
 automatic  employer contribution
 health savings account with employer match"
Marketing Advisor,"at compass we envision a world where the experience of selling or buying a home is simple and pleasant for everyone founded in  compass provides an endtoend platform that empowers residential real estate agents to deliver exceptional service to their seller and buyer clients all in service of our mission to help everyone find their place in the world

team overview

compass seeks a marketing advisor based in new york to join the team that shapes all of our agents marketing and branding projects from concepts and development through implementation and tracking at compass our agents are our brand and vice versa when their marketing excels then our company does this team provides vital account services and strategy to our agents to help their marketing efforts be the best they can be

you will work collaboratively with the industries best inhouse marketing  creative team as well as key external vendors to execute a wide variety of initiatives and help ensure cohesion between the compass brand and the marketingadvertising deliverables of our agents you will serve as a consultant to the agents to elevate the effectiveness of their individual efforts while playing a key role on the team refining and improving agent marketing tools developed inhouse as well as all policies processes strategies and best practices that inform our nationwide practice

at compass you will
 consult with agents daily to identify their marketing needs and help them execute tactics to deliver on those needs successfully and efficiently
 provide guidance and outstanding client service to guide their work from start to finish and provide value to make their marketing efforts more efficient less time consuming and more effective
 liaise between the companys design team and agents to communicate and coordinate the delivery of projects and all associated materials design photography copywriting and overall content development
 assist with implementing bestinclass agent marketing projects on an individual account basis and then apply those learnings to work with the entire marketing team to determine best practices and process improvements that will benefit all agents nationally
 monitor the ongoing efforts of the agents and analyze the actual results from advertisingmarketing projects to determine their effectiveness helping inform future activities for both those agents as well as the agent marketing team
 work with agents and managers to develop marketing plans that allow them to maximize the effectiveness of their budgets against tactics that will provide the greatest return for their business includes activations in multiple channels including branding advertising in print digital outdoor and social photography and video direct mail and more
 work with the advertising and media planning team to help guide media purchases and budget allocations including within the companys inhouse publication  compass quarterly
 oversee onboarding of agents to learn the compass proprietary marketing and product tools and offerings and help guide their training and usage of those tools
 support the marketing  creative department by relaying real estate market trends industry forecasts and new product information
experience we are looking for
  years of marketing experience
 ability to work independently taking ownership over your own accounts while working collaboratively in a team environment to drive best practices
 adept project manager impeccable time management and prioritization skills
 skilled communicator with great interpersonal skills ability to build and manage relationships
 meticulous attention to detail and highly organized
 understanding of marketing strategy and planning with the ability to identify the right tactics across a multitude of marketing channels print digital social content direct mail video paid media etc
 excellent writing and grammar skills
 experience with advertising campaigns
 experience working in a client or account service environment a big plus
 experience working in real estate marketing andor at a luxury brand a big plus
 proficient in the suite of office tools from apple google and microsoft ex keynote docs  excel
 experience with social mediaonline marketing platforms
 strong working knowledge of creative programs such as indesign and photoshop preferred
 strong working knowledge of production management software preferred
do your best work be your authentic self

at compass we believe that everyone deserves to find their place in the world  a place where they feel like they belong where they can be their authentic selves where they can thrive our collaborative energetic culture is grounded in our compass entrepreneurship principles and our commitment to diversity equity inclusion growth and mobility as an equal opportunity employer we offer competitive compensation packages robust benefits and professional growth opportunities aimed at helping to improve our employees lives and careers

notice for california applicants"
Manager ecommerce,"company description

experian is the worlds leading global information services company unlocking the power of data to create more opportunities for consumers businesses and society

we are thrilled to share that fortune has named experian one of the  best companies to work for  in addition for the last five years weve been named in the  worlds most innovative companies by forbes magazine 

experian is the power behind the data as the leading holder of consumer and business credit data were transforming data into solutions that improve the lives of millions of consumers around the world

experian consumer services ecs is looking for a talented ecommerce program manager who will be responsible for the development and execution of ecommerce programs that drive revenue growth profitability and customer lifetime value

you will drive projects from inception to completion developing ecommerce strategies and assuming responsibility for managing tasks milestones and status updates to stakeholders across the organization

youll also play a central role in bringing new products to market by partnering with crossfunctional teams to support the development of product roadmaps and gotomarket strategies

in doing so youll work closely with marketing managers product managers consumer research teams ux product designers to drive crosschannel initiatives that improve the ecommerce customer experience

the ideal candidate will have the ability to thrive in a fastpaced highly collaborative environment a strong bias for action and an eagerness to lead projects from endtoend one who is able to think strategically but also demonstrate a willingness to dive deep into the details of any project

experience in working across directtoconsumer ecommerce technology and product organizations is required for success in this position

the ecommerce program manager will report to the director of ecommerce and will primarily work alongside a team of ecommerce strategists optimization specialists web developers ux designers and data analysts

job description

serve as an ecommerce subject matter expert by developing and executing merchandising programs that drive new customer acquisition membership upsells  crosssells lead generation revenue and optimize customer lifetime value

manage the execution of these programs from endtoend across crossfunctional teams
 manage ecommerce projects and optimization test queues and coordinate prioritization inline with business priorities facilitate planning status and postmortem sessions across the ecommerce team
 understand customer behavior patterns on the site in terms of navigation engagement with content and data analysis to develop strategies that optimize the ecommerce customer experience
 shape the gotomarket strategy for experians suite of directtoconsumer products support the development of product positioning bundling pricing and promotional levers that drive revenue growth and profitability for our business
 be a key partner with marketing and other customerfacing channels to ensure all channelspecific plans align holistically and have the required materials and strategic support to deliver against their business performance goals
 be a key partner with product managers helping them develop product roadmaps and manage the evolution of their product lifecycle that aligns with overall gotomarket strategies based on informed market and consumer insights
 be a key partner with ux product design teams to provide guidance strategic support messaging and content to help them design products and experiences that optimize the customer experience
 work with consumer research teams to identify research needs that increase our understanding of the market and consumers

provide market intelligence and strategic guidance on how to use it to drive ecommerce gotomarket and product strategies

qualifications
  to  years of experience in ecommerce personal finance fintech or related directtoconsumer industry
 bachelors degree in marketing business technology major or equivalent experience
 experience managing crossfunctional projects endtoend across multiple teams
 strong business acumen and ability to translate data analysis into actionable business strategies
 experience translating business objectives into project requirements for technical stakeholders
 strong attention to detail and written and verbal communication skills are a must
 experience with jira or similar project management tools tableau adobe analytics and confluence is a plus

additional information

all your information will be kept confidential according to eeo guidelines

experian is proud to be an equal opportunity and affirmative action employer our goal is to create a thriving inclusive and diverse team where people love their work and love working together

we believe that diversity equity and inclusion is essential to our purpose of creating a better tomorrow we value the uniqueness of every individual and want you to bring your whole authentic self to work

for us this is the power of you and and it reflects what we believe see our dei work in action

if you live in colorado connecticut or new york city please contact us here for the salary range of this position include this job title in your email

in addition to a competitive base salary and variable pay opportunity experian offers a comprehensive benefits package including health life and disability insurance generous paid time off including parental and family care leave an employee stock purchase plan and a k plan with a company match

experian us employees are required to be fully vaccinated for covid

experian careers  creating a better tomorrow together

find out what its like to work for experian by clicking here

last updated  "
Sales Executive III Client Management,"position type  full time

type of hire  experienced relevant combo of work and education

education desired  bachelor of commercebusiness

travel percentage    

job descriptionat fis our technology and our people are moving forward we advance the way the world pays banks and invests we believe in building inclusive diverse teams together we innovate to help our colleagues clients and communities succeed if youre ready to grow your career and make an impact in fintech we have one question are you fis

about the role
as a sales executive  client management  quota carrier you will collaborate with the csuite level of finance legal and technical groups with a global fintech environment with endless opportunities for success provide industryleading solutions to prospective clients

about the team

what you will be doing
sell products and services
manage relationships
ensure alignment of client technology and business strategies
focus on account retention and continued revenue growth

what you will need
extensive experience as a sales executive in fintech or financial services
at least  years of experience interacting and partnering with senior management
understanding of investment banking operations technology and change landscape

added bonus if you have

what we offer you
at fis we are as committed to growing our employees careers as our own business we offer
opportunities to innovate in fintech
inclusive and diverse team atmosphere
professional and personal development
resources to contribute to your community
competitive salary and benefits



vaccination requirements

notice to all us applicants all employees must be fully vaccinated against covid individuals with a disability including a medical condition or sincerely held religious beliefs or practices that prevent them from getting the vaccine may request an exemption from the vaccine requirement

privacy statement

fis is committed to protecting the privacy and security of all personal information that we process in order to provide services to our clients for specific information on how fis protects personal information online please see the online privacy notice 

eeoc statement

fis is an equal opportunity employer we evaluate qualified applicants without regard to race color religion sex sexual orientation gender identity marital status genetic information national origin disability veteran status and other protected characteristics the eeo is the law poster is available here supplement document available here

for positions located in the us the following conditions apply if you are made a conditional offer of employment you will be required to undergo a drug test ada disclaimer in developing this job description care was taken to include all competencies needed to successfully perform in this position however for americans with disabilities act ada purposes the essential functions of the job may or may not have been described for purposes of ada reasonable accommodation all reasonable accommodation requests will be reviewed and evaluated on a casebycase basis

sourcing model

recruitment at fis works primarily on a direct sourcing model a relatively small portion of our hiring is through recruitment agencies fis does not accept resumes from recruitment agencies which are not on the preferred supplier list and is not responsible for any related fees for resumes submitted to job postings our employees or any other part of our company

pridepass"
