resume_id,Category,Skills,Education
10554236,accountant accountant,accounting general accounting accounts payable program management,northern community college 1994 associate accounting city state usa
10674770,accountant staff accountant,accounting accounts payable accounts receivable adp advertising balance sheet balance bank reconciliations benefits billing billings book keeping budget cash flow projections cash flow controller credit clients data collection delivery documentation email finance financial financial reporting financial statements fixed assets general ledger inventory job costing ledger legal materials meetings microsoft access microsoft excel excel microsoft word negotiating dba payables payroll peachtree processes coding purchasing express quick books quickbooks research sage sales spreadsheet tax software support valuation yearend additional information,bachelor science accounting 2010 university north carolina city state accounting bachelor science business administration finance 2010 business administration finance experience staff accountant january 2014 october 2014 company city state
11163645,accountant accountant,accounts payables accounts receivables accounts payable accounts receivable administrative functions trial balance banking budget closing computer applications credit clients customer service data entry delivery driving email insurance inventory ledger access excel outlook powerpoint word mortgage loan enterprise policies quickbooks sales sales reports telecommunications phone workflow written,computer applications specialist certificate program 2008 martinez adult education business training center city state skills accounts payables accounts receivables accounts payable accounts receivable administrative functions trial balance banking budget closing computer applications credit clients customer service data entry delivery driving email insurance inventory ledger access excel outlook powerpoint word mortgage loan enterprise policies quickbooks sales sales reports telecommunications phone workflow written
11759079,accountant senior accountant,accounting balance sheet budgets client clients derivatives drafting equity financial financial accounting financial statements fixed assets funds government information technology inventory investments ledger microsoft excel natural page payables processes programming real estate research sales scheme telephone writing skills additional information,emory university goizueta business school 5 2007 bachelor business administration accounting city state gpa gpa 36340 gpa 37740 accounting gpa 36340 gpa 37740 interests fulton county casa board directors member treasurer plan fund raisers review budget financial statements supervise casa staff notforprofit organization trains volunteers mentor children pulled homes fulton county court system abuse neglect cpa hold active georgia license scored 87 93 possible 99 sections cpa exam cfe certified fraud examiner skills accounting balance sheet budgets client clients derivatives drafting equity financial financial accounting financial statements fixed assets funds government information technology inventory investments ledger microsoft excel natural page payables processes programming real estate research sales scheme telephone writing skills additional information
12065211,accountant senior accountant,aderantcms excel quickbooks pro sql access peachtree hyperion,bachelor business administration accounting august 2002 temple university city state accounting audit project identifying potential risks impact audit xerox corp select courses advance accounting accounting information system auditing assurance services taxation interests
12202337,accountant investment accountant,internet microsoft office ms word ms power point ms excel pivot tables spreadsheets,master business administration finance 2011 university delaware city state usa
12338274,accountant accountant,3d accounting accountant accounts receivables adobe illustrator adobe photoshop pagemaker audio editing auditing banking book budget preparation contracts cost analysis credit clients debit dec documentation senior management finance financial financial management preparation financial statements hr inspection inventory inventory control macro media director ms office 2k windows 9x works modeling developer 2000 oracle 8i oracle payroll policies reporting sales tax video editing affiliations enter professional organizations involved examples,2006 vidyasagar university city state india mba finance finance 2000 mohan lal sukhadia university city state india select skills 3d accounting accountant accounts receivables adobe illustrator adobe photoshop pagemaker audio editing auditing banking book budget preparation contracts cost analysis credit clients debit dec documentation senior management finance financial financial management preparation financial statements hr inspection inventory inventory control macro media director ms office 2k windows 9x works modeling developer 2000 oracle 8i oracle payroll policies reporting sales tax video editing affiliations enter professional organizations involved examples
12442909,accountant accountant,,bachelor science accounting strayer university city state
12780508,accountant accountant,superior attention detail invoice coding familiarity quickbooks expert selfmotivated professional strong communication skills,bachelor science degree finance 2010 university maryland state finance skills accounting accounting system accounts payable accruals articulate atm banking budget business intelligence calculator cash flow cashier closing credit documentation equipment maintenance filing finance financial financial reports financial statements preparation financial statements fixed assets funds general ledger general ledger accounts ledger mailing access excel microsoft office office powerpoint microsoft word works networks peoplesoft policies processes coding receiving reconciling maintains files reporting research sales scanning scheduling phone yearend
12802330,accountant lead accountant,accounting accounting systems analytical skills auditing automation billing budgeting budgets budget business operations business process cashflow cash flow closing contracts cpa crystal reports database management essbase senior management financial financial accounting financial analysis financial analysisplanning financial reporting financial statements fixed assets forecasting general ledger great plains hyperion inventory ledger law market 90 excel ms office negotiation enterprise peachtree personnel policies pricing processes quantitative analysis quickbooks reconciling relationship management reporting researching research sales sarbanes oxley strategic planning tax preparation tax taxes trend,bs accounting business administration 2005 university maryland university college city state accounting business administration cpa candidate skills accounting accounting systems analytical skills auditing automation billing budgeting budgets budget business operations business process cashflow cash flow closing contracts cpa crystal reports database management essbase senior management financial financial accounting financial analysis financial analysisplanning financial reporting financial statements fixed assets forecasting general ledger great plains hyperion inventory ledger law market 90 excel ms office negotiation enterprise peachtree personnel policies pricing processes quantitative analysis quickbooks reconciling relationship management reporting researching research sales sarbanes oxley strategic planning tax preparation tax taxes trend
13072019,accountant project accountant,organized detailoriented,usm graphic design real estate nvccarchitectural drafting skills accounting accounting systems as400 billings bluebeambonds budgets business management clerical construction management contracts special events filing imaging insurance jd edwards microsoft office negotiations payroll coding project management property management proposals rfi scheduling taxes trade shows
